Station ID,City,State,decimal_latitude,decimal_longitude,geopy_time_zone
8735180,Dauphin Island,AL,30.25,-88.075,Unknown
8735391,Dog River Bridge,AL,30.565,-88.08833333,Unknown
8735523,East Fowl River Bridge,AL,30.44333333,-88.11333333,Unknown
8736897,Coast Guard Sector Mobile,AL,30.65,-88.05833333,Unknown
8737048,Mobile State Docks,AL,30.705,-88.04,Unknown
8737138,Chickasaw Creek,AL,30.78166667,-88.07333333,Unknown
8738043,West Fowl River Bridge,AL,30.37666667,-88.15833333,Unknown
8739803,Bayou La Batre Bridge,AL,30.40666667,-88.24833333,Unknown
9450460,Ketchikan,AK,55.33166667,-131.6266667,Unknown
9451054,Port Alexander,AK,56.24666667,-134.6483333,Unknown
9451600,Sitka,AK,57.05166667,-135.3433333,Unknown
9452210,Juneau,AK,58.29833333,-134.41,Unknown
9452400,"Skagway, Taiya Inlet",AK,59.45,-135.3283333,Unknown
9452634,Elfin Cove,AK,58.195,-136.3466667,Unknown
9453220,"Yakutat, Yakutat Bay",AK,59.54833333,-139.7333333,Unknown
9454050,Cordova,AK,60.55666667,-145.755,Unknown
9454240,Valdez,AK,61.125,-146.3616667,Unknown
9455090,Seward,AK,60.12,-149.4283333,Unknown
9455500,Seldovia,AK,59.44,-151.72,Unknown
9455760,Nikiski,AK,60.68333333,-151.3983333,Unknown
9455920,Anchorage,AK,61.23666667,-149.89,Unknown
9457292,Kodiak Island,AK,57.73,-152.5133333,Unknown
9457804,Alitak,AK,56.89666667,-154.2483333,Unknown
9459450,Sand Point,AK,55.33166667,-160.505,Unknown
9459881,King Cove,AK,55.06,-162.3266667,Unknown
9461380,Adak Island,AK,51.86,-176.6383333,Unknown
9461710,Atka,AK,52.23166667,-174.1733333,Unknown
9462450,Nikolski,AK,52.94,-168.8716667,Unknown
9462620,Unalaska,AK,53.88,-166.54,Unknown
9463502,Port Moller,AK,55.985,-160.5733333,Unknown
9464212,"Village Cove, St Paul Island",AK,57.125,-170.285,Unknown
9468333,Unalakleet,AK,63.87166667,-160.785,Unknown
9468756,"Nome, Norton Sound",AK,64.495,-165.44,Unknown
9491094,Red Dog Dock,AK,67.575,-164.065,Unknown
9497645,Prudhoe Bay,AK,70.41166667,-148.5316667,Unknown
2695535,Bermuda Biological Station,Bermuda,32.37,-64.695,Unknown
2695540, St. Georges Island,Bermuda,32.37333333,-64.70333333,Unknown
9410170,San Diego,CA,32.715,-117.1766667,Unknown
9410230,La Jolla,CA,32.86666667,-117.2566667,Unknown
9410660,Los Angeles,CA,33.72,-118.2716667,Unknown
9410840,Santa Monica,CA,34.00833333,-118.5,Unknown
9411340,Santa Barbara,CA,34.405,-119.6916667,Unknown
9412110,Port San Luis,CA,35.17666667,-120.76,Unknown
9413450,Monterey,CA,36.60833333,-121.8916667,Unknown
9414290,San Francisco,CA,37.80666667,-122.4666667,Unknown
9414523,Redwood City,CA,37.50666667,-122.2116667,Unknown
9414750,Alameda,CA,37.77166667,-122.3,Unknown
9414863,Richmond,CA,37.92833333,-122.4,Unknown
9415020,Point Reyes,CA,37.995,-122.9733333,Unknown
9415102,Martinez-Amorco Pier,CA,38.035,-122.125,Unknown
9415144,Port Chicago,CA,38.05666667,-122.04,Unknown
9416841,Arena Cove,CA,38.915,-123.7116667,Unknown
9418767,North Spit,CA,40.76666667,-124.2166667,Unknown
9419750,Crescent City,CA,41.745,-124.185,Unknown
9751364,"Christiansted Harbor, St Croix",VI,17.74833333,-64.69833333,Unknown
9751381,"Lameshur Bay, St John",VI,18.31833333,-64.725,Unknown
9751401,Lime Tree Bay,VI,17.695,-64.75333333,Unknown
9751639,Charlotte Amalie,VI,18.33,-64.925,Unknown
9752235,Culebra,PR,18.30166667,-65.30166667,Unknown
9752695,"Esperanza, Vieques Island",PR,18.09333333,-65.47166667,Unknown
9755371,"San Juan, La Puntilla, San Juan Bay",PR,18.45833333,-66.11666667,Unknown
9759110,Magueyes Island,PR,17.97,-67.04666667,Unknown
9759394,Mayaguez,PR,18.21833333,-67.16166667,Unknown
9759938,Mona Island,PR,18.09,-67.93833333,Unknown
8461490,New London,CT,41.37166667,-72.095,Unknown
8465705,New Haven,CT,41.28333333,-72.90833333,Unknown
8467150,Bridgeport,CT,41.175,-73.18333333,Unknown
8551762,Delaware City,DE,39.58166667,-75.58833333,Unknown
